tau,agent,estimate
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.01,A6,0.18972901240141507
0.023101297000831605,A1,1.174368206597623
0.023101297000831605,A1,1.1749633465962344
0.023101297000831605,A1,1.1657386766177622
0.023101297000831605,A1,1.1678216666129013
0.023101297000831605,A1,1.167524096613596
0.023101297000831605,A1,1.1728803566010957
0.023101297000831605,A1,1.1660362466170677
0.023101297000831605,A1,1.1606799866295683
0.023101297000831605,A1,1.170202226607346
0.023101297000831605,A1,1.1600848466309572
0.023101297000831605,A1,1.1600848466309572
0.023101297000831605,A1,1.160084846630957
0.023101297000831605,A1,1.162762976624707
0.023101297000831605,A1,1.1719876466031787
0.023101297000831605,A1,1.1678216666129013
0.023101297000831605,A1,1.1651435366191514
0.023101297000831605,A1,1.168119236612207
0.023101297000831605,A1,1.163953256621929
0.023101297000831605,A1,1.1636556866226238
0.023101297000831605,A1,1.1624654066254014
0.023101297000831605,A1,1.168714376610818
0.023101297000831605,A1,1.1636556866226235
0.023101297000831605,A1,1.1684168066115124
0.023101297000831605,A1,1.163953256621929
0.023101297000831605,A1,1.156811576638596
0.023101297000831605,A1,1.169309516609429
0.023101297000831605,A1,1.1675240966135958
0.023101297000831605,A1,1.1603824166302625
0.023101297000831605,A1,1.16454839662054
0.023101297000831605,A1,1.1642508266212346
0.023101297000831605,A1,1.1657386766177624
0.023101297000831605,A1,1.1716900766038731
0.023101297000831605,A1,1.1651435366191516
0.023101297000831605,A1,1.1621678366260957
0.023101297000831605,A1,1.1594897066323462
0.023101297000831605,A1,1.1675240966135958
0.023101297000831605,A1,1.1707973666059566
0.023101297000831605,A1,1.1648459666198454
0.023101297000831605,A1,1.164845966619846
0.023101297000831605,A1,1.167524096613596
0.023101297000831605,A2,0.6885411390484969
0.023101297000831605,A2,0.6879459990498867
0.023101297000831605,A2,0.6971706690283576
0.023101297000831605,A2,0.695087679033219
0.023101297000831605,A2,0.6953852490325245
0.023101297000831605,A2,0.6900289890450247
0.023101297000831605,A2,0.6968730990290521
0.023101297000831605,A2,0.7022293590165523
0.023101297000831605,A2,0.6927071190387751
0.023101297000831605,A2,0.7028244990151628
0.023101297000831605,A2,0.7028244990151632
0.023101297000831605,A2,0.7028244990151623
0.023101297000831605,A2,0.7001463690214126
0.023101297000831605,A2,0.6909216990429419
0.023101297000831605,A2,0.6950876790332187
0.023101297000831605,A2,0.697765809026969
0.023101297000831605,A2,0.6947901090339139
0.023101297000831605,A2,0.6989560890241904
0.023101297000831605,A2,0.6992536590234968
0.023101297000831605,A2,0.7004439390207183
0.023101297000831605,A2,0.6941949690353031
0.023101297000831605,A2,0.6992536590234967
0.023101297000831605,A2,0.6944925390346075
0.023101297000831605,A2,0.698956089024191
0.023101297000831605,A2,0.7060977690075235
0.023101297000831605,A2,0.6935998290366917
0.023101297000831605,A2,0.6953852490325245
0.023101297000831605,A2,0.7025269290158569
0.023101297000831605,A2,0.6983609490255793
0.023101297000831605,A2,0.698658519024885
0.023101297000831605,A2,0.6971706690283572
0.023101297000831605,A2,0.6912192690422471
0.023101297000831605,A2,0.6977658090269688
0.023101297000831605,A2,0.7007415090200241
0.023101297000831605,A2,0.7034196390137742
0.023101297000831605,A2,0.6953852490325244
0.023101297000831605,A2,0.6921119790401631
