tau,mae_mean,mae_std,time_mean
0.01,0.18881639950059784,0.0005954790131635472,0.6182470142841339
0.023101297000831605,0.1819645659762666,9.1947477549246e-17,0.6206011354923249
0.0533669923120631,0.18194400406901381,3.598531137888226e-05,0.6161295235157013
0.12328467394420659,0.1765131185159025,0.0006018851965355999,0.6251535177230835
0.2848035868435802,0.12946042575205455,0.001993253043018712,0.6202924907207489
0.6579332246575682,0.06482241494947907,0.002186693252311434,0.6222629964351654
1.5199110829529332,0.028202445500109176,0.0025938534848901833,0.6204162061214447
3.511191734215131,0.012371668597396936,0.0022311763177033906,0.6178739070892334
8.111308307896872,0.006704720004626706,0.0020048171372617067,0.6295195460319519
18.73817422860385,0.004465741425673221,0.0017203625173517413,0.656958794593811
43.287612810830616,0.004515423026681192,0.0016821653173986503,0.6276898205280304
100.0,0.004188139531992749,0.0017342852325972341,0.6311127960681915
